                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.68163,                 1.0439,                 1.1261,                0.72298,                 1.5443,                 1.1435,                0.79395,                0.78127,                0.87805,                0.66838,                 1.0198,                0.98499,                 1.4847,                 1.0942,                 1.6126,                  1.599,             0.00030882,             0.00030882,             0.00030882
                     25,                0.66256,                0.99063,                  1.119,                0.70966,                  1.457,                  1.136,                0.69577,                0.64342,                0.74325,                0.61198,                0.85182,                 1.4054,                  1.274,                0.84454,                 1.9995,                 1.2768,             0.00030773,             0.00030773,             0.00030773
                     26,                0.67523,                0.99797,                 1.1264,                0.71349,                 1.4228,                 1.1417,                0.66298,                0.73359,                0.79528,                0.62663,                0.93804,                 1.2038,                 1.3662,                0.96983,                 1.7476,                 1.3858,             0.00030663,             0.00030663,             0.00030663
                     27,                0.68604,                0.97662,                 1.1181,                0.72678,                 1.3859,                 1.1315,                0.76772,                0.81463,                0.85815,                0.72915,                0.67657,                0.96832,                  1.146,                0.71512,                 1.4365,                 1.1813,             0.00030553,             0.00030553,             0.00030553
                     28,                0.66265,                0.94588,                 1.1132,                0.71174,                 1.3391,                 1.1327,                0.84593,                0.73136,                0.83775,                0.67314,                0.88284,                0.90819,                 1.3271,                0.88832,                 1.4449,                  1.347,             0.00030443,             0.00030443,             0.00030443
                     29,                0.66444,                 0.9225,                 1.1104,                0.70744,                 1.2991,                 1.1243,                0.74964,                0.77569,                 0.8525,                0.64201,                 1.0778,                0.96099,                  1.503,                 1.0893,                 1.4587,                 1.5369,             0.00030333,             0.00030333,             0.00030333
                     30,                 0.6636,                0.92289,                 1.1117,                0.71003,                 1.2733,                 1.1312,                 0.7992,                0.73433,                0.85127,                0.65734,                0.98131,                0.95113,                 1.4376,                0.99205,                 1.4193,                 1.4558,             0.00030223,             0.00030223,             0.00030223
                     31,                0.66645,                0.94235,                 1.1096,                0.71159,                 1.2782,                 1.1298,                 0.8693,                0.74217,                0.87497,                0.73373,                0.74018,                0.80966,                 1.2106,                0.74678,                 1.2255,                   1.22,             0.00030113,             0.00030113,             0.00030113
                     32,                0.64374,                0.87524,                 1.0941,                0.69077,                 1.1918,                 1.1152,                0.71918,                0.76168,                0.83587,                0.67906,                0.87991,                 0.9611,                  1.326,                0.91137,                 1.3171,                 1.3729,             0.00030003,             0.00030003,             0.00030003
                     33,                0.66422,                0.90869,                 1.1131,                 0.7147,                 1.2265,                 1.1308,                0.71832,                0.77224,                0.77123,                0.62405,                0.86845,                 1.2369,                 1.3087,                 0.8872,                 1.6454,                 1.3423,             0.00029893,             0.00029893,             0.00029893
                     34,                0.64637,                0.86132,                 1.1069,                 0.6869,                 1.1683,                 1.1247,                  0.816,                0.77096,                0.85447,                0.71079,                 0.8105,                0.90042,                 1.2406,                0.82168,                 1.1762,                 1.2553,             0.00029784,             0.00029784,             0.00029784
                     35,                0.64601,                0.81297,                 1.1018,                0.69311,                  1.094,                 1.1211,                0.76045,                0.80028,                0.86788,                0.68729,                0.88566,                0.86244,                 1.3229,                0.90713,                 1.1983,                 1.3375,             0.00029674,             0.00029674,             0.00029674
                     36,                0.62457,                0.78817,                 1.0785,                0.66957,                 1.0657,                 1.0968,                0.84778,                0.81529,                0.89606,                0.73141,                0.86244,                0.80259,                 1.3208,                0.85213,                 1.0812,                 1.3303,             0.00029564,             0.00029564,             0.00029564
                     37,                0.63756,                0.82558,                 1.0929,                0.69123,                 1.1064,                 1.1168,                0.86589,                0.74491,                0.87239,                0.68216,                0.94137,                 0.9395,                 1.3681,                0.96609,                 1.2527,                 1.3931,             0.00029454,             0.00029454,             0.00029454
                     38,                0.64381,                0.81478,                 1.1013,                0.69903,                 1.0851,                 1.1218,                0.84245,                0.81797,                0.89974,                0.72531,                 0.8348,                0.74975,                 1.2705,                0.84218,                0.98896,                 1.2825,             0.00029344,             0.00029344,             0.00029344
                     39,                0.62591,                 0.7971,                 1.0868,                0.67989,                 1.0374,                 1.1088,                0.83488,                0.82028,                0.90135,                0.73956,                0.75501,                0.69962,                 1.2052,                0.80036,                0.97251,                 1.2466,             0.00029234,             0.00029234,             0.00029234
                     40,                0.62559,                0.79167,                 1.0895,                0.67858,                 1.0448,                 1.1063,                0.84747,                0.84274,                0.91037,                0.75961,                0.75857,                 0.7766,                 1.1849,                0.77585,                0.99618,                  1.225,             0.00029124,             0.00029124,             0.00029124
                     41,                0.61761,                0.74433,                 1.0821,                0.66313,                0.98276,                 1.1013,                0.83177,                0.76499,                0.87585,                0.72121,                0.81012,                0.85715,                 1.2693,                0.80789,                 1.0607,                 1.2808,             0.00029014,             0.00029014,             0.00029014
                     42,                0.62801,                0.77563,                 1.0906,                0.67675,                 1.0172,                 1.1136,                0.84786,                  0.814,                0.88436,                0.70631,                0.89881,                0.81831,                 1.3708,                0.91255,                 1.0937,                 1.3885,             0.00028904,             0.00028904,             0.00028904
                     43,                0.63262,                0.77501,                 1.0924,                0.67983,                 1.0099,                  1.111,                  0.879,                 0.8417,                0.90095,                 0.7135,                0.94672,                0.91135,                 1.4437,                 0.9595,                 1.1592,                 1.4599,             0.00028795,             0.00028795,             0.00028795
                     44,                0.63009,                0.76528,                 1.0939,                0.67705,                0.99965,                 1.1114,                0.85688,                0.77486,                0.88565,                0.72674,                0.79427,                0.92616,                 1.2713,                0.78434,                  1.137,                 1.2738,             0.00028685,             0.00028685,             0.00028685
                     45,                0.61997,                0.72333,                 1.0819,                0.67518,                0.94541,                  1.103,                  0.873,                 0.8287,                0.90714,                0.76435,                0.74554,                0.70535,                 1.2008,                0.75576,                0.92882,                 1.2298,             0.00028575,             0.00028575,             0.00028575
                     46,                0.62386,                0.73648,                 1.0881,                0.68373,                0.94716,                 1.1125,                0.80779,                  0.802,                0.90131,                0.73194,                0.88121,                0.85932,                 1.3411,                0.86676,                 1.0351,                 1.3392,             0.00028465,             0.00028465,             0.00028465
                     47,                0.60504,                0.72018,                  1.071,                 0.6538,                0.91337,                 1.0906,                0.89391,                0.77969,                0.90666,                0.73741,                0.86791,                0.77704,                 1.3363,                0.87959,                 1.0044,                  1.367,             0.00028355,             0.00028355,             0.00028355
                     48,                0.60728,                0.72718,                 1.0736,                0.65766,                0.92628,                 1.0938,                0.82929,                0.79807,                0.88182,                0.70621,                0.88977,                0.82159,                 1.3572,                0.90157,                 1.0281,                 1.3667,             0.00028245,             0.00028245,             0.00028245
                     49,                0.62499,                0.72675,                 1.0832,                0.67909,                0.92639,                 1.1076,                0.77279,                0.86911,                0.90369,                0.75972,                0.72845,                0.71107,                 1.1928,                0.78279,                0.88072,                 1.2502,             0.00028135,             0.00028135,             0.00028135
                     50,                0.59483,                0.68336,                 1.0669,                0.64165,                0.87276,                 1.0844,                0.87287,                0.79989,                0.89271,                0.73709,                0.73345,                0.88615,                  1.194,                0.76978,                  1.076,                 1.2474,             0.00028025,             0.00028025,             0.00028025
                     51,                0.60224,                0.66295,                 1.0655,                0.65166,                0.85428,                  1.086,                0.86091,                0.82259,                 0.8875,                0.69634,                0.92929,                0.75485,                 1.4095,                0.93626,                0.93244,                   1.42,             0.00027915,             0.00027915,             0.00027915
                     52,                  0.612,                0.66968,                 1.0895,                0.66557,                0.84713,                 1.1107,                0.86896,                0.79092,                0.89121,                0.70561,                0.92224,                0.83397,                 1.3923,                0.95185,                 1.0333,                 1.4446,             0.00027806,             0.00027806,             0.00027806
                     53,                 0.5918,                0.65421,                 1.0719,                0.65043,                0.83571,                 1.0955,                0.82398,                0.84247,                0.89182,                0.73145,                0.75596,                0.86611,                 1.2271,                0.76386,                 1.0445,                 1.2523,             0.00027696,             0.00027696,             0.00027696
                     54,                0.60411,                0.66455,                 1.0703,                 0.6664,                0.83066,                 1.0948,                0.83214,                0.82067,                0.88493,                0.71647,                0.82478,                0.68358,                 1.2734,                0.83185,                0.86995,                 1.2954,             0.00027586,             0.00027586,             0.00027586
                     55,                0.58947,                0.64965,                 1.0698,                0.65001,                 0.7982,                 1.0917,                 0.8862,                0.78568,                0.91213,                 0.7607,                 0.7692,                0.75898,                 1.2252,                0.79779,                0.86168,                 1.2634,             0.00027476,             0.00027476,             0.00027476
                     56,                0.58582,                0.64966,                  1.063,                0.63923,                0.81426,                 1.0839,                 0.8072,                0.84567,                 0.9083,                0.71758,                0.91145,                0.76782,                 1.3625,                0.92082,                0.94843,                 1.3867,             0.00027366,             0.00027366,             0.00027366
                     57,                0.58926,                 0.6295,                 1.0612,                0.64462,                0.79228,                 1.0843,                0.81249,                0.85491,                0.89736,                0.72247,                0.87656,                0.74009,                 1.3384,                0.89637,                0.85959,                 1.3673,             0.00027256,             0.00027256,             0.00027256
                     58,                0.58861,                0.64985,                 1.0669,                0.64247,                 0.8086,                 1.0881,                0.86786,                0.85524,                0.92109,                0.76239,                0.80901,                0.60191,                 1.2741,                0.80969,                0.69248,                 1.2747,             0.00027146,             0.00027146,             0.00027146
                     59,                0.59856,                0.63759,                 1.0787,                0.65538,                0.79114,                 1.0995,                0.82467,                0.84853,                0.90359,                0.73695,                0.79271,                0.72196,                 1.2448,                0.81671,                0.87295,                 1.2866,             0.00027036,             0.00027036,             0.00027036
                     60,                0.58781,                0.61771,                 1.0664,                0.64308,                0.76285,                 1.0876,                0.86602,                0.84574,                 0.9179,                0.74195,                0.88534,                0.73688,                 1.3801,                0.88721,                0.92254,                 1.3926,             0.00026926,             0.00026926,             0.00026926
                     61,                 0.5801,                0.61735,                 1.0606,                0.64141,                 0.7749,                 1.0867,                0.89217,                0.79411,                0.90643,                0.72321,                0.89583,                 0.6409,                 1.3729,                0.91335,                0.78295,                 1.3939,             0.00026816,             0.00026816,             0.00026816
                     62,                0.58907,                0.63336,                 1.0652,                0.63645,                0.78045,                  1.088,                0.74064,                0.85542,                0.89537,                0.72669,                0.83568,                 0.8483,                 1.2704,                0.85948,                0.98863,                 1.3124,             0.00026707,             0.00026707,             0.00026707
                     63,                0.58768,                0.63167,                   1.06,                0.64998,                0.79642,                 1.0838,                0.90881,                0.84235,                0.93275,                0.75844,                0.82112,                0.63218,                 1.2934,                0.83207,                0.71743,                 1.3107,             0.00026597,             0.00026597,             0.00026597
                     64,                0.58624,                0.62262,                 1.0671,                 0.6416,                0.76561,                 1.0843,                0.89558,                0.80023,                0.89262,                0.71639,                0.89623,                 0.9793,                 1.3601,                 0.8959,                 1.1445,                 1.3689,             0.00026487,             0.00026487,             0.00026487
                     65,                0.58304,                0.59748,                 1.0587,                0.63695,                0.74185,                 1.0792,                0.81436,                0.83837,                0.88491,                0.71191,                 0.8559,                0.81576,                 1.3015,                0.84757,                0.94813,                 1.3061,             0.00026377,             0.00026377,             0.00026377
                     66,                0.58694,                0.61642,                  1.061,                0.63791,                0.77724,                 1.0822,                0.87138,                0.83922,                0.91166,                0.74267,                0.83392,                0.72917,                 1.2812,                0.83853,                0.88916,                 1.3015,             0.00026267,             0.00026267,             0.00026267
                     67,                0.56091,                0.59078,                 1.0448,                0.61752,                0.72287,                 1.0663,                0.87627,                0.84676,                0.92437,                0.75518,                0.79777,                0.77862,                 1.2474,                0.80427,                0.87116,                 1.2639,             0.00026157,             0.00026157,             0.00026157
                     68,                0.57587,                0.60874,                 1.0624,                0.62873,                0.75776,                 1.0829,                0.83859,                0.85028,                0.88919,                0.71536,                0.86076,                0.83008,                 1.3279,                0.88214,                0.98097,                 1.3573,             0.00026047,             0.00026047,             0.00026047
                     69,                0.57246,                0.57949,                 1.0662,                0.63046,                0.69832,                 1.0893,                0.87974,                 0.8109,                0.90531,                0.73699,                 0.8543,                0.67665,                 1.3352,                0.86551,                0.80878,                 1.3598,             0.00025937,             0.00025937,             0.00025937
                     70,                0.56582,                0.56557,                 1.0535,                0.61735,                0.68548,                 1.0742,                0.88491,                0.76391,                0.89288,                0.72334,                 0.8537,                0.76374,                 1.2839,                0.85085,                0.88149,                 1.3062,             0.00025827,             0.00025827,             0.00025827
                     71,                0.56912,                0.57059,                 1.0569,                0.62325,                0.69393,                 1.0771,                0.72499,                0.86386,                0.88339,                 0.7179,                0.80993,                0.75342,                 1.2769,                0.82799,                0.88005,                 1.2999,             0.00025718,             0.00025718,             0.00025718
                     72,                0.57715,                0.59856,                 1.0572,                0.62808,                0.72824,                 1.0762,                0.89287,                0.78732,                0.90742,                  0.707,                0.94028,                0.71046,                 1.4167,                0.95059,                0.82847,                 1.4361,             0.00025608,             0.00025608,             0.00025608
                     73,                0.56048,                0.56306,                 1.0437,                0.61428,                0.68992,                 1.0627,                0.88348,                0.85671,                0.93146,                0.75595,                0.81639,                0.72047,                 1.2766,                0.82896,                 0.8179,                 1.3077,             0.00025498,             0.00025498,             0.00025498
                     74,                0.56414,                0.54886,                 1.0526,                0.61575,                0.66845,                 1.0737,                0.86048,                0.87695,                0.92847,                0.77359,                0.76359,                0.57907,                 1.2183,                0.78402,                0.69341,                 1.2519,             0.00025388,             0.00025388,             0.00025388
                     75,                0.55125,                0.54879,                 1.0397,                 0.6044,                0.66752,                 1.0608,                0.82251,                0.80091,                0.88605,                0.72661,                 0.8161,                0.75565,                 1.2966,                0.84129,                 0.8224,                 1.3257,             0.00025278,             0.00025278,             0.00025278
                     76,                0.55962,                0.55901,                 1.0505,                0.61746,                0.66859,                 1.0707,                0.87033,                0.82785,                0.91354,                0.74667,                0.79011,                0.74474,                 1.2453,                0.79917,                0.90946,                 1.2707,             0.00025168,             0.00025168,             0.00025168
                     77,                0.55709,                0.54541,                 1.0448,                0.60856,                0.66207,                 1.0658,                0.81553,                0.84444,                0.90527,                0.72475,                0.88342,                0.74792,                 1.3567,                0.89971,                 0.8181,                 1.3671,             0.00025058,             0.00025058,             0.00025058
                     78,                0.55899,                0.55438,                 1.0462,                0.61317,                0.66488,                 1.0668,                 0.8307,                0.84032,                0.90223,                0.73825,                0.81146,                0.71748,                 1.2836,                0.81401,                0.83162,                 1.2956,             0.00024948,             0.00024948,             0.00024948
                     79,                0.55562,                0.54304,                 1.0451,                0.60834,                0.65772,                 1.0666,                0.87585,                0.82831,                0.90182,                0.73878,                0.80134,                0.73404,                 1.2582,                0.81966,                0.82962,                 1.2895,             0.00024838,             0.00024838,             0.00024838
                     80,                 0.5536,                0.53223,                 1.0461,                0.60693,                0.64517,                 1.0682,                0.81823,                0.83627,                0.89483,                0.72087,                0.84526,                0.69121,                    1.3,                0.87341,                0.79971,                 1.3362,             0.00024729,             0.00024729,             0.00024729
