                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.69183,                0.76307,                 1.1236,                0.77144,                0.92246,                 1.1623,                0.88101,                0.84168,                0.92716,                0.73901,                0.89717,                0.56306,                 1.3866,                0.93711,                0.61952,                 1.4291,             0.00030882,             0.00030882,             0.00030882
                     25,                0.68072,                0.74255,                 1.1208,                0.75742,                0.91971,                 1.1573,                  0.862,                 0.8355,                0.92116,                0.73876,                0.88301,                0.59163,                 1.3355,                0.91827,                0.67341,                 1.3872,             0.00030773,             0.00030773,             0.00030773
                     26,                0.68522,                0.74083,                 1.1253,                0.76131,                0.90537,                 1.1591,                0.86452,                0.82174,                0.90571,                0.70797,                0.94099,                0.69923,                 1.3567,                0.96682,                0.77014,                 1.4184,             0.00030663,             0.00030663,             0.00030663
                     27,                0.68188,                0.74165,                  1.116,                0.74851,                0.90596,                 1.1484,                0.80916,                0.91992,                0.93184,                0.76608,                0.75362,                0.53739,                 1.1948,                 0.8036,                0.57934,                 1.2466,             0.00030553,             0.00030553,             0.00030553
                     28,                0.65579,                0.68996,                 1.1043,                0.73627,                0.85339,                 1.1374,                0.86503,                0.83736,                0.90735,                0.73934,                0.80309,                0.65216,                 1.2355,                0.82442,                0.69721,                 1.2562,             0.00030443,             0.00030443,             0.00030443
                     29,                0.66576,                0.72015,                 1.1051,                0.74161,                0.87943,                 1.1376,                0.85066,                0.88091,                0.95333,                0.74722,                0.95056,                0.50428,                  1.407,                0.96972,                0.51694,                 1.4343,             0.00030333,             0.00030333,             0.00030333
                     30,                0.66192,                0.69613,                 1.1117,                 0.7458,                0.85836,                 1.1489,                0.85865,                0.80838,                0.91269,                0.71565,                0.94427,                0.68434,                 1.3668,                0.97395,                0.74738,                 1.4019,             0.00030223,             0.00030223,             0.00030223
                     31,                0.67661,                 0.7256,                 1.1076,                0.74074,                0.89109,                 1.1364,                0.82147,                0.90085,                0.93193,                0.74516,                0.90641,                0.52258,                 1.3621,                0.90899,                0.57363,                 1.3772,             0.00030113,             0.00030113,             0.00030113
                     32,                0.65572,                0.65567,                 1.0988,                0.72669,                0.78277,                 1.1241,                0.83422,                0.84522,                0.90671,                 0.7417,                0.86358,                0.58876,                 1.3069,                0.84498,                0.62143,                 1.3153,             0.00030003,             0.00030003,             0.00030003
                     33,                0.67634,                0.68438,                  1.114,                0.75135,                0.83086,                 1.1461,                0.87421,                0.83655,                0.92593,                0.73529,                 0.8903,                0.57728,                 1.3249,                0.89167,                0.59838,                 1.3352,             0.00029893,             0.00029893,             0.00029893
                     34,                0.64183,                0.63964,                 1.0994,                0.71623,                0.76234,                  1.133,                0.92737,                0.76379,                0.91372,                0.72739,                0.88919,                0.60387,                 1.3464,                0.88984,                 0.6537,                 1.3462,             0.00029784,             0.00029784,             0.00029784
                     35,                0.63873,                0.65063,                 1.0919,                0.71359,                0.77406,                  1.123,                0.82957,                0.80794,                 0.9022,                0.70231,                0.95083,                0.77173,                 1.3946,                0.96637,                0.83237,                 1.4095,             0.00029674,             0.00029674,             0.00029674
                     36,                0.63781,                0.63817,                 1.0848,                0.70896,                0.79089,                 1.1153,                 0.8966,                0.82985,                  0.924,                0.73557,                0.91597,                 0.5688,                 1.3571,                0.92359,                0.61644,                 1.3826,             0.00029564,             0.00029564,             0.00029564
                     37,                0.64485,                0.65088,                 1.0991,                0.71251,                0.80317,                 1.1292,                0.88933,                0.84555,                0.92021,                0.73162,                0.94162,                0.65515,                 1.3697,                0.94537,                0.69587,                 1.3759,             0.00029454,             0.00029454,             0.00029454
                     38,                0.63598,                 0.6652,                 1.0962,                0.71322,                0.80594,                 1.1284,                 0.9002,                0.84293,                0.93659,                0.75092,                 0.8778,                 0.6494,                 1.3044,                0.86786,                0.69841,                 1.3205,             0.00029344,             0.00029344,             0.00029344
                     39,                0.63455,                0.59732,                  1.091,                 0.7077,                0.73903,                 1.1236,                0.85905,                0.80193,                0.91648,                0.74587,                0.83893,                0.49865,                 1.2886,                0.85153,                 0.5342,                 1.3105,             0.00029234,             0.00029234,             0.00029234
                     40,                0.61487,                0.62259,                 1.0799,                0.68281,                0.77231,                 1.1085,                0.85354,                0.81564,                0.90777,                0.72389,                0.89002,                0.57973,                 1.3436,                 0.9171,                0.72625,                 1.3958,             0.00029124,             0.00029124,             0.00029124
