                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.99293,                  1.302,                 1.3972,                 1.0478,                 1.5549,                 1.4286,                0.81101,                0.77981,                0.87255,                0.58616,                 1.3611,                0.86844,                 1.7182,                 1.3709,                 1.0089,                 1.7255,             0.00030992,             0.00030992,             0.00030992
                     24,                0.98559,                  1.247,                 1.3876,                 1.0397,                 1.5088,                 1.4141,                0.80914,                0.80999,                0.88909,                 0.5702,                 1.4804,                0.79061,                  1.898,                 1.5066,                 0.9092,                 1.9514,             0.00030882,             0.00030882,             0.00030882
                     25,                0.97383,                 1.2581,                 1.3861,                 1.0274,                 1.4962,                  1.405,                0.84532,                0.81658,                 0.8815,                0.61208,                  1.318,                0.81996,                 1.6865,                 1.3418,                0.80044,                  1.707,             0.00030773,             0.00030773,             0.00030773
                     26,                0.97077,                 1.2649,                  1.382,                 1.0245,                  1.534,                 1.4096,                0.74728,                0.80736,                0.88818,                0.63597,                 1.1962,                0.81668,                 1.5469,                 1.2377,                0.82121,                  1.627,             0.00030663,             0.00030663,             0.00030663
                     27,                0.95323,                 1.2554,                 1.3746,                 1.0074,                 1.5015,                 1.3979,                0.83986,                0.79725,                0.89666,                 0.6075,                 1.4407,                  0.849,                  1.848,                 1.4395,                0.86486,                 1.8291,             0.00030553,             0.00030553,             0.00030553
                     28,                0.97338,                 1.2205,                 1.3838,                 1.0307,                 1.4548,                 1.4108,                 0.8223,                0.81476,                 0.9012,                0.57031,                 1.5254,                0.85406,                 1.9571,                 1.5391,                0.88043,                 2.0341,             0.00030443,             0.00030443,             0.00030443
                     29,                 0.9666,                 1.2345,                  1.389,                 1.0211,                 1.4728,                 1.4188,                0.84493,                0.85267,                0.92663,                0.62253,                  1.408,                0.67478,                 1.8626,                 1.4124,                0.73759,                 1.8649,             0.00030333,             0.00030333,             0.00030333
                     30,                0.94135,                 1.1592,                 1.3574,                0.99656,                  1.399,                  1.391,                0.77948,                0.85047,                0.91085,                0.63392,                  1.286,                0.75348,                 1.6701,                 1.3024,                0.83449,                 1.6856,             0.00030223,             0.00030223,             0.00030223
                     31,                0.93882,                 1.1808,                 1.3667,                 1.0053,                 1.4341,                 1.3991,                0.84853,                0.74693,                 0.8856,                0.59315,                  1.431,                0.75792,                 1.8453,                 1.4634,                0.79251,                 1.8706,             0.00030113,             0.00030113,             0.00030113
                     32,                0.92503,                 1.1169,                 1.3415,                0.98043,                 1.3587,                 1.3715,                0.86547,                0.75793,                0.91026,                0.67963,                 1.1088,                0.65638,                 1.4532,                 1.1289,                0.71736,                 1.4845,             0.00030003,             0.00030003,             0.00030003
                     33,                0.93087,                 1.1273,                 1.3525,                0.98805,                 1.3545,                 1.3781,                0.82342,                0.84112,                0.92498,                0.66843,                  1.225,                0.66987,                 1.5744,                  1.236,                 0.6597,                 1.5959,             0.00029893,             0.00029893,             0.00029893
                     34,                0.93282,                 1.1223,                 1.3517,                0.99499,                 1.3417,                 1.3773,                0.78925,                0.82628,                0.89874,                0.63172,                 1.2871,                0.79521,                 1.6104,                 1.2922,                0.84624,                 1.6313,             0.00029784,             0.00029784,             0.00029784
                     35,                0.91567,                 1.1067,                 1.3354,                0.97213,                 1.3143,                 1.3631,                0.83809,                0.82447,                0.90497,                0.67632,                 1.1543,                0.76289,                 1.4838,                  1.152,                0.82385,                 1.5135,             0.00029674,             0.00029674,             0.00029674
                     36,                0.92887,                 1.0996,                 1.3511,                0.98745,                 1.3288,                 1.3833,                0.80504,                0.82771,                0.91144,                 0.6299,                 1.3324,                0.72945,                  1.673,                 1.3296,                0.78376,                 1.7037,             0.00029564,             0.00029564,             0.00029564
                     37,                0.91055,                 1.0895,                 1.3478,                0.98474,                 1.2934,                 1.3762,                0.79337,                0.84952,                0.89569,                0.61597,                 1.3437,                0.75821,                 1.7148,                 1.3468,                0.77037,                 1.7413,             0.00029454,             0.00029454,             0.00029454
                     38,                0.91711,                 1.0751,                 1.3409,                0.97551,                 1.3302,                 1.3717,                0.83953,                0.84588,                0.92931,                0.62241,                 1.4748,                0.77349,                 1.8883,                 1.5143,                0.75648,                 1.9315,             0.00029344,             0.00029344,             0.00029344
                     39,                0.90605,                 1.0785,                 1.3321,                0.96862,                 1.3179,                 1.3638,                0.85842,                0.82621,                0.91456,                0.63342,                 1.3575,                0.74631,                 1.7011,                 1.3825,                0.77425,                 1.7365,             0.00029234,             0.00029234,             0.00029234
                     40,                0.90852,                 1.0473,                 1.3296,                0.96938,                 1.2634,                 1.3612,                0.85547,                 0.8206,                 0.9173,                0.66516,                 1.1741,                0.65901,                 1.5094,                 1.2045,                0.65976,                 1.5548,             0.00029124,             0.00029124,             0.00029124
                     41,                0.88141,                 1.0073,                 1.3181,                 0.9356,                 1.2188,                  1.349,                0.84801,                0.80109,                0.92156,                 0.6547,                  1.261,                0.65189,                 1.5975,                 1.2844,                0.68955,                 1.6189,             0.00029014,             0.00029014,             0.00029014
                     42,                  0.894,                 1.0559,                 1.3385,                0.95295,                 1.2883,                 1.3694,                0.82308,                0.83881,                0.92461,                0.65838,                 1.3101,                0.63506,                 1.6757,                 1.3237,                0.65643,                 1.7145,             0.00028904,             0.00028904,             0.00028904
