                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0324,                 4.3531,                 1.4944,                0.89931,                 7.6571,                 1.4301,                0.00484,                0.88736,                0.06615,                0.05803,                 0.5918,                  4.781,                 1.0952,                0.52755,                 12.605,                 1.0809,             0.00010869,             0.00010869,             0.00010869
                      2,                0.83205,                 3.8498,                 1.2972,                0.71128,                 6.7969,                 1.2196,                0.93928,                0.02564,                0.22006,                0.17524,                0.86315,                 4.3989,                 1.3159,                0.73062,                 11.941,                 1.2198,             0.00021751,             0.00021751,             0.00021751
                      3,                0.89281,                 3.3711,                 1.3366,                0.76619,                 6.2218,                 1.2405,                0.60618,                0.17276,                 0.2541,                0.21391,                0.75096,                 3.8327,                 1.2213,                0.64453,                  10.47,                 1.1503,             0.00032414,             0.00032414,             0.00032414
                      4,                0.90709,                 2.9403,                 1.3197,                0.79462,                 5.6551,                 1.2372,                0.45621,                  0.403,                0.34692,                0.29504,                 0.6976,                 3.5068,                 1.2072,                0.69694,                 9.2068,                 1.2005,             0.00032311,             0.00032311,             0.00032311
                      5,                0.84566,                 2.4915,                 1.2717,                0.78431,                 4.9377,                 1.2174,                0.49582,                0.47285,                0.48149,                0.40572,                0.81094,                 2.8311,                 1.2682,                0.75925,                 8.2485,                 1.2008,             0.00032311,             0.00032311,             0.00032311
                      6,                0.84983,                  2.317,                 1.2629,                0.80223,                 4.6355,                   1.22,                0.40269,                0.57434,                 0.5196,                0.38623,                 1.0824,                 2.7913,                  1.486,                 1.0971,                 7.9867,                 1.5027,             0.00031981,             0.00031981,             0.00031981
                      7,                0.81702,                 2.1044,                 1.2418,                0.77637,                 4.2605,                 1.2068,                0.47978,                0.54566,                0.59466,                0.49987,                0.81619,                 2.1583,                 1.1802,                0.80691,                 6.4058,                  1.193,             0.00031652,             0.00031652,             0.00031652
                      8,                0.79665,                 1.9257,                  1.218,                0.77756,                 3.8001,                 1.1983,                0.51878,                0.59711,                0.62638,                0.51374,                0.79057,                 2.1055,                 1.1735,                0.79195,                 6.0271,                 1.1971,             0.00031322,             0.00031322,             0.00031322
                      9,                0.80064,                  1.858,                 1.2232,                0.78832,                 3.6124,                 1.2085,                0.48302,                0.60552,                0.63082,                0.53346,                0.73821,                 1.9725,                 1.1543,                0.75734,                 5.3029,                 1.1885,             0.00030992,             0.00030992,             0.00030992
                     10,                0.77591,                 1.7228,                 1.2035,                 0.7646,                 3.3174,                 1.1949,                0.58444,                0.51585,                0.61823,                0.51235,                0.73602,                  1.729,                 1.1333,                0.78769,                 4.8297,                 1.1905,             0.00030663,             0.00030663,             0.00030663
                     11,                0.76108,                  1.637,                 1.1901,                0.76632,                 3.0688,                 1.1847,                0.63041,                0.64118,                0.74646,                0.59768,                0.95933,                 1.5538,                 1.3324,                 0.9627,                 4.2686,                 1.3548,             0.00030333,             0.00030333,             0.00030333
                     12,                0.74606,                  1.541,                 1.1758,                0.75232,                 2.8412,                 1.1819,                0.66831,                0.59783,                0.70221,                0.54809,                 1.0522,                 1.6757,                 1.4179,                 1.0485,                 4.1112,                 1.4226,             0.00030003,             0.00030003,             0.00030003
                     13,                 0.7159,                 1.4745,                 1.1607,                0.73921,                 2.7053,                 1.1669,                 0.5959,                0.77523,                0.78913,                0.61168,                 1.0428,                 1.5244,                 1.4612,                 1.0619,                 3.5556,                 1.4927,             0.00029674,             0.00029674,             0.00029674
                     14,                 0.7289,                 1.3993,                 1.1709,                0.74589,                 2.5029,                 1.1689,                0.69033,                0.64603,                0.76989,                0.63508,                0.85486,                 1.4242,                 1.2755,                0.88214,                 3.3067,                 1.2759,             0.00029344,             0.00029344,             0.00029344
                     15,                  0.717,                 1.3651,                 1.1581,                0.74034,                 2.3809,                  1.164,                0.67656,                0.71085,                0.79146,                0.62784,                0.97696,                 1.3614,                 1.3502,                0.96452,                 3.1305,                 1.3393,             0.00029014,             0.00029014,             0.00029014
