                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.3269,                0.71826,                 1.0404,                0.36621,                0.76397,                 1.0596,                0.94584,                0.94862,                0.98195,                 0.9809,                 0.1281,                0.23459,                0.24201,                0.13831,                0.22972,                0.27858,             0.00023185,             0.00023185,             0.00023185
                     25,                0.32217,                0.70567,                 1.0295,                0.35496,                0.75479,                 1.0431,                0.94649,                0.94961,                0.98672,                0.98486,                0.19753,                0.25404,                0.29962,                0.19192,                0.23448,                0.31432,             0.00023103,             0.00023103,             0.00023103
                     26,                0.32786,                0.69696,                 1.0391,                0.36496,                0.74956,                 1.0539,                0.97855,                0.97972,                0.99282,                0.98984,                0.19573,                0.20514,                0.31268,                0.17361,                0.16416,                0.31483,              0.0002302,              0.0002302,              0.0002302
                     27,                0.32846,                0.66482,                 1.0266,                0.36706,                0.70703,                 1.0421,                0.93223,                0.96527,                0.98571,                0.95941,                0.23975,                 0.3101,                0.38881,                0.26171,                0.26523,                0.43852,             0.00022938,             0.00022938,             0.00022938
                     28,                0.32378,                 0.6994,                  1.035,                0.36518,                0.74164,                 1.0539,                0.97418,                0.97377,                0.99298,                 0.9718,                0.21731,                 0.2629,                 0.3622,                0.23622,                0.18587,                0.40536,             0.00022855,             0.00022855,             0.00022855
                     29,                 0.3167,                0.67553,                 1.0265,                0.35338,                0.71562,                  1.042,                0.90984,                0.94244,                0.96793,                0.96371,                0.17172,                0.34879,                0.28977,                0.15741,                0.31623,                0.28377,             0.00022773,             0.00022773,             0.00022773
                     30,                0.30721,                0.67142,                  1.022,                0.34087,                0.70834,                 1.0382,                0.94548,                0.97084,                0.98887,                0.98051,                0.18347,                0.24075,                0.35827,                 0.2282,                0.22955,                0.41323,              0.0002269,              0.0002269,              0.0002269
                     31,                0.32657,                0.67811,                 1.0311,                0.36471,                0.71037,                 1.0482,                0.96185,                  0.964,                0.99059,                0.98662,                0.17958,                0.21344,                0.31764,                 0.1759,                 0.1859,                0.35399,             0.00022608,             0.00022608,             0.00022608
                     32,                0.29938,                0.63735,                 1.0092,                 0.3312,                0.66562,                 1.0241,                0.95594,                0.97328,                0.99384,                0.98829,                0.21412,                0.22863,                0.31728,                0.22749,                0.19064,                0.35318,             0.00022525,             0.00022525,             0.00022525
                     33,                0.30523,                0.65213,                 1.0168,                0.33612,                0.67491,                 1.0316,                0.94156,                0.95596,                0.98255,                 0.9823,                0.18107,                 0.2983,                0.30007,                0.14718,                0.23336,                0.28442,             0.00022443,             0.00022443,             0.00022443
                     34,                0.28599,                0.62595,                 1.0075,                0.31599,                0.66103,                 1.0202,                0.96009,                0.96172,                0.98971,                0.98432,                0.17534,                0.25632,                0.30261,                0.14764,                0.18895,                0.29908,              0.0002236,              0.0002236,              0.0002236
                     35,                0.28326,                0.64838,                 1.0055,                0.31555,                0.69436,                 1.0201,                0.94257,                0.97646,                0.99299,                0.97503,                 0.2057,                 0.2636,                0.34063,                0.22763,                0.20771,                0.37529,             0.00022278,             0.00022278,             0.00022278
                     36,                0.28526,                0.61353,                 1.0019,                0.31708,                0.65098,                 1.0153,                0.95819,                0.96213,                0.99043,                0.97283,                 0.2205,                0.25248,                0.37194,                0.20083,                0.19595,                0.36478,             0.00022195,             0.00022195,             0.00022195
                     37,                0.29335,                0.63593,                 1.0068,                0.32455,                0.67098,                 1.0214,                0.91699,                0.95916,                0.98868,                0.98644,                0.13669,                0.26563,                0.23621,                0.13226,                0.25822,                0.25373,             0.00022112,             0.00022112,             0.00022112
                     38,                0.29992,                0.61895,                 1.0131,                0.32938,                0.64356,                 1.0253,                0.98075,                0.96701,                0.99209,                0.99125,                0.14083,                 0.1941,                0.24075,                0.14974,                0.14997,                0.25478,              0.0002203,              0.0002203,              0.0002203
                     39,                0.29413,                0.60853,                 1.0123,                0.32887,                0.62423,                 1.0268,                 0.9812,                0.97061,                0.99253,                0.98856,                0.22239,                0.22211,                0.36408,                 0.2067,                0.15665,                0.37661,             0.00021948,             0.00021948,             0.00021948
                     40,                0.27708,                0.59705,                 1.0001,                0.30926,                0.62501,                 1.0139,                0.98196,                0.96561,                0.99202,                0.99202,                0.15775,                0.19991,                0.26014,                0.14886,                0.14905,                0.26561,             0.00021865,             0.00021865,             0.00021865
                     41,                0.27903,                0.58574,                 1.0038,                0.30669,                0.60809,                 1.0176,                0.96589,                0.98154,                0.99335,                0.98908,                0.18681,                0.19526,                0.31826,                0.16744,                 0.1421,                0.30963,             0.00021782,             0.00021782,             0.00021782
                     42,                0.27767,                0.57117,                0.99536,                0.30659,                 0.5958,                 1.0095,                0.98044,                0.97663,                0.99413,                0.99154,                0.19349,                0.21698,                0.31884,                0.19087,                0.13878,                0.32589,               0.000217,               0.000217,               0.000217
                     43,                0.27126,                0.58341,                 0.9986,                0.30233,                0.60417,                 1.0115,                0.93393,                0.95753,                0.98014,                0.97865,                0.12077,                0.22207,                0.22899,                0.12593,                0.21428,                0.27292,             0.00021617,             0.00021617,             0.00021617
                     44,                0.27593,                0.58311,                0.99855,                0.30876,                0.60064,                 1.0114,                0.98244,                0.97991,                0.99429,                0.97672,                0.26713,                0.21666,                0.40598,                0.27271,                0.15596,                0.41879,             0.00021535,             0.00021535,             0.00021535
                     45,                 0.2854,                0.57763,                 1.0032,                0.31232,                0.59612,                 1.0137,                0.96051,                0.98434,                0.99243,                0.98983,                0.18978,                0.21467,                0.30716,                0.17644,                 0.1486,                0.31079,             0.00021452,             0.00021452,             0.00021452
                     46,                0.27331,                0.54138,                0.99056,                0.30075,                0.56187,                 1.0035,                0.94102,                0.96916,                0.98773,                0.98126,                0.17973,                0.23488,                0.33655,                0.23687,                0.20629,                0.40385,              0.0002137,              0.0002137,              0.0002137
                     47,                0.26574,                0.56499,                0.99152,                0.29676,                0.59078,                 1.0043,                 0.9592,                0.97927,                0.99233,                0.99101,                0.18793,                0.20071,                0.30189,                 0.1586,                0.14548,                0.29581,             0.00021288,             0.00021288,             0.00021288
                     48,                0.25389,                0.57016,                0.98602,                0.28205,                0.60217,                0.99692,                0.98548,                0.98875,                0.99457,                0.99457,                 0.1484,                0.17715,                 0.2264,                0.14239,                0.09708,                0.23206,             0.00021205,             0.00021205,             0.00021205
                     49,                0.26714,                0.55716,                0.98978,                0.29664,                  0.585,                 1.0024,                  0.951,                0.96087,                0.98806,                0.98266,                0.20148,                0.23697,                0.33693,                0.19573,                0.19432,                0.35292,             0.00021122,             0.00021122,             0.00021122
                     50,                0.26105,                0.56783,                0.98901,                0.28938,                0.60131,                 1.0006,                0.96151,                0.97108,                0.99251,                0.99043,                0.19468,                0.20725,                0.32993,                0.17916,                 0.1562,                0.33469,              0.0002104,              0.0002104,              0.0002104
                     51,                0.26349,                0.53942,                0.99084,                 0.2921,                0.56533,                 1.0027,                0.98676,                0.98442,                 0.9944,                 0.9727,                0.24776,                0.23776,                 0.4128,                0.25715,                0.13956,                0.45755,             0.00020958,             0.00020958,             0.00020958
                     52,                0.25843,                0.57111,                0.98968,                0.28607,                0.59241,                 1.0012,                0.98141,                0.97772,                0.99364,                0.99179,                0.14038,                0.17771,                0.24391,                0.12029,                0.11456,                0.26879,             0.00020875,             0.00020875,             0.00020875
                     53,                0.26069,                0.55315,                0.99067,                   0.29,                0.58097,                 1.0033,                0.97701,                0.98642,                0.99477,                0.99424,                 0.1921,                0.17922,                0.30895,                0.19535,                0.12661,                0.33656,             0.00020792,             0.00020792,             0.00020792
                     54,                0.25019,                0.51702,                0.98406,                0.27982,                0.53132,                0.99559,                0.97289,                0.98441,                0.99357,                0.98077,                0.20302,                0.20095,                0.33725,                0.19417,                0.12763,                0.35641,              0.0002071,              0.0002071,              0.0002071
                     55,                0.25319,                0.53404,                0.98694,                0.28034,                0.54957,                0.99885,                0.97104,                0.98411,                 0.9938,                0.99322,                0.16103,                0.19668,                0.26734,                0.13875,                0.11987,                0.27726,             0.00020628,             0.00020628,             0.00020628
                     56,                0.25723,                0.53812,                0.98611,                0.28396,                0.55209,                0.99716,                0.97431,                0.98317,                0.99382,                0.99295,                0.12175,                0.15842,                 0.2106,                0.11879,                0.10285,                0.23329,             0.00020545,             0.00020545,             0.00020545
                     57,                0.25742,                0.53086,                0.98436,                0.28519,                0.54406,                0.99608,                0.98246,                0.98371,                0.99458,                0.99442,                0.15307,                0.16575,                0.23956,                0.13042,                0.09463,                0.23265,             0.00020463,             0.00020463,             0.00020463
                     58,                 0.2604,                0.54257,                 0.9904,                 0.2878,                0.55417,                  1.001,                0.98293,                0.98133,                0.99425,                0.99266,                0.12599,                0.16332,                0.24515,                0.11172,                0.09697,                 0.2563,              0.0002038,              0.0002038,              0.0002038
                     59,                0.25359,                 0.5265,                0.98326,                0.27989,                  0.545,                0.99382,                0.99169,                0.98643,                0.99469,                0.99125,                0.19254,                0.20483,                0.30477,                0.14117,                0.08344,                0.28214,             0.00020298,             0.00020298,             0.00020298
                     60,                0.25379,                0.52628,                0.98747,                0.28005,                0.53679,                0.99955,                0.97531,                0.96735,                0.99328,                0.98794,                 0.1891,                0.18897,                0.30699,                0.18134,                0.13678,                0.32213,             0.00020215,             0.00020215,             0.00020215
                     61,                0.25023,                0.53105,                0.98425,                  0.276,                0.54901,                0.99514,                0.97861,                0.98282,                0.99383,                0.99342,                0.13036,                0.14536,                0.24787,                0.12605,                0.09208,                 0.2588,             0.00020133,             0.00020133,             0.00020133
                     62,                0.23261,                0.50788,                 0.9744,                0.25899,                 0.5262,                0.98525,                0.96373,                0.97183,                0.99064,                0.99031,                0.15213,                0.17779,                0.26281,                0.13906,                0.14548,                0.27178,              0.0002005,              0.0002005,              0.0002005
                     63,                0.24456,                0.51949,                 0.9797,                0.27124,                0.53149,                0.99088,                 0.9832,                0.98181,                  0.994,                0.99315,                  0.219,                0.21922,                 0.3137,                 0.1924,                0.11937,                 0.3104,             0.00019967,             0.00019967,             0.00019967
                     64,                 0.2449,                 0.5162,                0.97736,                0.27153,                0.52649,                0.98855,                0.98937,                0.98454,                0.99466,                 0.9946,                0.13129,                0.15319,                0.19931,                0.13642,                0.09282,                0.23054,             0.00019885,             0.00019885,             0.00019885
                     65,                0.24254,                0.50062,                0.98187,                0.26628,                0.51478,                0.99229,                0.97228,                0.97305,                 0.9924,                0.99179,                0.13252,                0.17131,                0.23992,                  0.126,                0.12048,                0.25262,             0.00019803,             0.00019803,             0.00019803
                     66,                0.24967,                0.51766,                0.98481,                 0.2758,                0.52964,                0.99551,                0.96885,                0.98066,                0.99191,                0.99182,                  0.165,                0.16774,                   0.26,                0.14483,                0.12813,                0.24947,              0.0001972,              0.0001972,              0.0001972
                     67,                0.23802,                0.48361,                0.97821,                0.26125,                0.48545,                0.98681,                0.97855,                0.98502,                0.99426,                 0.9935,                0.14906,                0.15679,                0.25323,                0.14128,                0.09893,                0.25924,             0.00019637,             0.00019637,             0.00019637
                     68,                0.23119,                0.48368,                0.97913,                0.25375,                0.49445,                0.98887,                0.98332,                0.99521,                 0.9947,                0.99449,                0.13509,                0.14384,                0.22159,                0.12121,                0.08185,                0.22955,             0.00019555,             0.00019555,             0.00019555
                     69,                0.23505,                 0.5012,                0.98097,                0.26062,                0.51997,                 0.9904,                0.97184,                0.98005,                0.99127,                0.98786,                0.15145,                0.17406,                0.28057,                0.13257,                0.12702,                0.27105,             0.00019472,             0.00019472,             0.00019472
                     70,                0.23114,                0.48122,                0.97508,                0.25384,                0.48867,                0.98371,                0.98564,                0.98052,                0.99414,                0.99414,                0.12256,                0.13564,                0.21477,                0.10788,                0.08687,                0.21266,              0.0001939,              0.0001939,              0.0001939
                     71,                0.23378,                0.48318,                0.97333,                0.26075,                0.49707,                0.98338,                0.98069,                0.98052,                0.99449,                0.99403,                0.14238,                 0.1465,                0.23285,                0.13572,                0.10142,                0.24504,             0.00019307,             0.00019307,             0.00019307
