                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.71545,                0.96562,                 1.1762,                0.79439,                 1.1539,                 1.2217,                0.84079,                0.77135,                0.88612,                0.68314,                0.99566,                0.68669,                 1.4956,                 1.0148,                0.73325,                 1.5278,             0.00030882,             0.00030882,             0.00030882
                     25,                0.70347,                0.89398,                  1.168,                 0.7712,                 1.0784,                 1.2084,                0.86708,                0.79066,                0.87645,                0.72499,                0.76727,                0.61609,                 1.2422,                0.79353,                0.70732,                 1.2726,             0.00030773,             0.00030773,             0.00030773
                     26,                0.70409,                0.89427,                 1.1705,                0.77106,                 1.0676,                 1.2125,                 0.8623,                0.83041,                0.88632,                0.72937,                0.80426,                0.64516,                 1.2984,                0.84373,                0.70988,                 1.3484,             0.00030663,             0.00030663,             0.00030663
                     27,                0.69983,                0.86284,                 1.1615,                 0.7699,                 1.0299,                  1.201,                0.86135,                0.75037,                0.86814,                 0.7159,                0.75315,                0.59055,                 1.2299,                0.82228,                0.72135,                  1.289,             0.00030553,             0.00030553,             0.00030553
                     28,                 0.6884,                0.85482,                 1.1527,                0.77038,                 1.0107,                 1.1981,                0.87746,                0.82856,                0.92007,                0.74548,                0.79961,                0.61181,                 1.2758,                0.83281,                0.69435,                 1.3064,             0.00030443,             0.00030443,             0.00030443
                     29,                0.70011,                0.85066,                 1.1582,                0.77122,                 1.0232,                  1.197,                0.86515,                0.76455,                0.92007,                0.75225,                0.81815,                0.60801,                 1.3068,                0.82077,                0.66413,                 1.3268,             0.00030333,             0.00030333,             0.00030333
                     30,                0.68404,                 0.8481,                 1.1535,                0.75262,                 1.0173,                 1.1965,                0.90419,                0.84429,                0.90807,                0.70384,                0.97029,                 0.5242,                 1.4872,                 1.0092,                0.56971,                 1.5298,             0.00030223,             0.00030223,             0.00030223
                     31,                0.68936,                0.83367,                 1.1479,                0.76011,                 1.0159,                  1.192,                0.88263,                0.84919,                0.94032,                0.78987,                 0.7579,                0.50494,                 1.2401,                0.77923,                0.48376,                 1.2607,             0.00030113,             0.00030113,             0.00030113
                     32,                0.67188,                0.79116,                 1.1368,                0.73734,                 0.9582,                 1.1735,                0.73505,                0.84868,                0.88474,                0.69973,                0.92945,                0.68542,                 1.4052,                0.95455,                 0.7814,                 1.4677,             0.00030003,             0.00030003,             0.00030003
                     33,                0.69182,                0.83534,                 1.1568,                0.76957,                  1.014,                 1.2027,                0.87133,                0.83377,                0.91099,                0.72797,                0.85758,                0.57878,                 1.3243,                0.89346,                0.61899,                 1.3851,             0.00029893,             0.00029893,             0.00029893
                     34,                0.66829,                0.77273,                 1.1466,                0.73524,                0.92332,                 1.1879,                0.86459,                0.81456,                0.90967,                0.74495,                0.82121,                0.55971,                 1.3117,                0.83892,                0.66773,                  1.333,             0.00029784,             0.00029784,             0.00029784
                     35,                0.67143,                0.77737,                  1.145,                0.73521,                0.92555,                 1.1825,                0.87209,                0.81509,                0.91713,                0.72192,                 0.9611,                0.63219,                 1.4365,                0.94279,                0.70054,                 1.4233,             0.00029674,             0.00029674,             0.00029674
                     36,                0.66384,                0.75437,                 1.1297,                0.73264,                0.90114,                 1.1698,                0.88519,                0.88592,                0.93506,                0.77329,                0.80443,                0.48017,                 1.2696,                0.80707,                0.49159,                 1.2769,             0.00029564,             0.00029564,             0.00029564
                     37,                0.65627,                0.75999,                 1.1293,                0.73115,                0.91854,                  1.176,                0.78175,                0.89106,                0.91591,                0.72298,                0.97033,                0.59144,                 1.4237,                0.99135,                0.62663,                 1.4414,             0.00029454,             0.00029454,             0.00029454
                     38,                0.66562,                0.75428,                 1.1364,                0.74476,                0.92074,                 1.1813,                0.87839,                0.82128,                0.92411,                0.75565,                0.79359,                0.58209,                  1.269,                0.81273,                 0.6048,                 1.2894,             0.00029344,             0.00029344,             0.00029344
                     39,                 0.6587,                0.73205,                 1.1317,                0.73429,                0.87064,                 1.1751,                0.91512,                0.82353,                0.93858,                0.75215,                0.84529,                0.46659,                 1.3291,                0.86349,                0.45167,                 1.3665,             0.00029234,             0.00029234,             0.00029234
                     40,                0.64202,                 0.7596,                 1.1254,                0.71015,                0.90302,                 1.1679,                0.90821,                0.85125,                 0.9402,                0.79603,                0.71528,                0.46513,                 1.2044,                0.71906,                0.47776,                 1.2291,             0.00029124,             0.00029124,             0.00029124
                     41,                0.63677,                0.69162,                 1.1145,                0.70988,                0.82047,                 1.1554,                0.87451,                 0.8284,                0.91503,                0.74384,                0.81371,                0.54253,                 1.3133,                0.82751,                0.62106,                  1.334,             0.00029014,             0.00029014,             0.00029014
                     42,                0.65578,                0.70906,                 1.1261,                0.71965,                0.84995,                 1.1617,                0.88361,                0.85886,                0.92195,                0.74147,                0.89861,                0.58356,                 1.3625,                0.92714,                0.57896,                 1.4292,             0.00028904,             0.00028904,             0.00028904
                     43,                0.65741,                0.72507,                 1.1257,                0.72581,                0.88231,                 1.1678,                0.88256,                 0.8465,                0.91862,                0.73904,                0.85212,                0.50226,                  1.398,                0.89743,                0.49827,                 1.4341,             0.00028795,             0.00028795,             0.00028795
                     44,                0.64675,                0.71348,                 1.1268,                0.70586,                0.84705,                 1.1625,                0.78265,                0.91026,                0.93315,                0.77646,                0.77513,                0.58709,                  1.329,                0.79589,                 0.5973,                 1.3602,             0.00028685,             0.00028685,             0.00028685
                     45,                0.64547,                0.69343,                 1.1188,                0.72161,                0.83826,                 1.1621,                0.80992,                0.87031,                0.92225,                0.75923,                0.80428,                0.59573,                 1.2919,                0.79832,                 0.6623,                 1.3215,             0.00028575,             0.00028575,             0.00028575
                     46,                0.64856,                0.69714,                 1.1276,                0.72357,                0.82937,                 1.1716,                0.81586,                0.86087,                0.93566,                0.77159,                0.82749,                0.78783,                 1.3153,                0.83433,                0.77438,                 1.3511,             0.00028465,             0.00028465,             0.00028465
                     47,                0.61751,                0.66814,                  1.101,                0.68632,                0.78416,                 1.1424,                0.87196,                 0.8197,                0.92889,                 0.7743,                0.77545,                0.52979,                 1.2788,                0.79358,                0.57322,                 1.3218,             0.00028355,             0.00028355,             0.00028355
                     48,                0.62735,                0.67177,                 1.1082,                0.69058,                0.80781,                 1.1513,                0.86473,                0.81497,                0.91447,                0.73938,                0.86799,                0.61385,                 1.3508,                0.89063,                0.60081,                 1.4172,             0.00028245,             0.00028245,             0.00028245
                     49,                0.64509,                0.68619,                 1.1198,                0.70936,                0.80625,                 1.1585,                0.88609,                0.86321,                0.94468,                0.77184,                0.80796,                   0.58,                 1.2877,                0.81999,                 0.5434,                 1.3095,             0.00028135,             0.00028135,             0.00028135
                     50,                 0.6195,                0.66255,                  1.101,                0.69048,                 0.7784,                  1.143,                0.88969,                0.79382,                0.91882,                0.75882,                0.75655,                0.53437,                 1.2289,                0.80489,                0.61658,                   1.28,             0.00028025,             0.00028025,             0.00028025
