                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.95176,                 1.0851,                 1.3193,                 1.0161,                 1.3556,                 1.3519,                 0.8484,                0.82308,                0.92373,                0.61406,                 1.4628,                0.69511,                  1.783,                 1.4629,                0.72829,                 1.7856,             0.00030882,             0.00030882,             0.00030882
                     25,                0.96237,                 1.0864,                 1.3236,                 1.0231,                 1.3539,                 1.3532,                0.84578,                0.85165,                0.91212,                0.64642,                 1.2165,                 0.6875,                 1.5214,                  1.256,                0.74361,                 1.5594,             0.00030773,             0.00030773,             0.00030773
                     26,                0.94343,                 1.0738,                 1.3138,                 1.0132,                 1.3349,                 1.3507,                0.88191,                0.83034,                 0.9187,                0.64933,                 1.2965,                0.64073,                 1.5827,                 1.3125,                0.71018,                 1.6116,             0.00030663,             0.00030663,             0.00030663
                     27,                0.92081,                 1.0411,                 1.2946,                0.98266,                  1.286,                 1.3278,                0.84113,                0.84334,                0.93103,                0.63604,                 1.4314,                0.73265,                 1.7442,                 1.4392,                0.76383,                 1.7728,             0.00030553,             0.00030553,             0.00030553
                     28,                0.93359,                 1.0483,                 1.3033,                 1.0015,                 1.3033,                 1.3315,                0.89533,                0.84789,                0.93611,                0.62913,                 1.3714,                0.67946,                 1.7277,                 1.3986,                0.68756,                 1.7877,             0.00030443,             0.00030443,             0.00030443
                     29,                0.95634,                 1.0724,                  1.324,                  1.018,                 1.3355,                 1.3596,                0.84862,                0.80771,                0.90637,                0.67609,                 1.1523,                0.68348,                 1.4227,                 1.1738,                0.76019,                 1.4578,             0.00030333,             0.00030333,             0.00030333
                     30,                0.91019,                 1.0007,                 1.2941,                0.97261,                 1.2383,                 1.3238,                0.84729,                0.85797,                0.92818,                0.68634,                 1.1758,                0.65327,                 1.4728,                 1.1881,                 0.6593,                 1.4812,             0.00030223,             0.00030223,             0.00030223
                     31,                0.93537,                 1.0411,                   1.32,                0.98947,                  1.296,                 1.3498,                0.85839,                0.88575,                 0.9356,                0.62944,                 1.4551,                 0.7376,                 1.7795,                 1.4392,                0.74836,                  1.764,             0.00030113,             0.00030113,             0.00030113
                     32,                0.91549,                0.96681,                 1.2811,                0.97373,                 1.1961,                 1.3101,                0.88672,                0.83218,                0.93717,                0.68124,                 1.1791,                0.65628,                 1.4959,                 1.1858,                0.72676,                 1.4958,             0.00030003,             0.00030003,             0.00030003
                     33,                0.91108,                0.96156,                 1.2846,                0.97227,                 1.2067,                 1.3199,                  0.914,                0.85454,                0.94034,                0.71424,                 1.1039,                0.65445,                 1.3936,                 1.1026,                0.68648,                  1.408,             0.00029893,             0.00029893,             0.00029893
                     34,                0.91048,                0.96415,                 1.2851,                0.97046,                 1.1957,                 1.3154,                0.83084,                0.87057,                0.94207,                0.69644,                  1.135,                0.69832,                 1.4476,                 1.1227,                0.73208,                 1.4479,             0.00029784,             0.00029784,             0.00029784
                     35,                0.90282,                0.94917,                 1.2765,                0.97074,                 1.1806,                 1.3072,                0.83216,                0.85028,                0.92162,                0.67641,                 1.2682,                0.66175,                 1.5634,                 1.2823,                0.71897,                 1.5632,             0.00029674,             0.00029674,             0.00029674
                     36,                0.91804,                0.97081,                 1.2999,                0.98016,                 1.2033,                 1.3289,                 0.8174,                0.86459,                0.92974,                0.69667,                 1.1048,                0.63588,                  1.386,                 1.1433,                0.70262,                 1.4399,             0.00029564,             0.00029564,             0.00029564
                     37,                0.89253,                0.94226,                 1.2816,                0.95621,                 1.1646,                 1.3133,                0.86843,                 0.8465,                0.92555,                 0.6241,                  1.417,                0.72456,                 1.7273,                 1.4119,                0.70723,                 1.7147,             0.00029454,             0.00029454,             0.00029454
                     38,                0.88739,                0.92831,                 1.2758,                0.95371,                 1.1578,                 1.3081,                0.91291,                0.81889,                0.92064,                0.61154,                 1.5015,                0.69426,                 1.8885,                 1.5118,                0.82682,                 1.9019,             0.00029344,             0.00029344,             0.00029344
                     39,                0.89255,                0.94262,                 1.2733,                  0.967,                 1.1649,                 1.3079,                0.90072,                0.83093,                 0.9218,                0.65045,                 1.2815,                0.65168,                 1.5568,                 1.3053,                0.68589,                  1.582,             0.00029234,             0.00029234,             0.00029234
                     40,                0.89811,                0.92801,                  1.277,                0.96586,                 1.1331,                 1.3107,                0.90645,                0.85412,                0.95364,                0.64534,                 1.4137,                0.60416,                 1.7317,                 1.4245,                0.61785,                 1.7356,             0.00029124,             0.00029124,             0.00029124
                     41,                0.86814,                0.88212,                 1.2667,                0.94236,                 1.0673,                 1.3042,                0.92111,                0.83419,                0.93295,                0.64825,                 1.3798,                0.67719,                 1.6989,                 1.3913,                 0.6992,                 1.7067,             0.00029014,             0.00029014,             0.00029014
                     42,                0.88823,                0.95207,                 1.2799,                0.95201,                 1.1958,                 1.3104,                0.86504,                0.86096,                0.92037,                0.60591,                 1.4757,                0.71145,                 1.8124,                 1.5119,                0.76955,                 1.8563,             0.00028904,             0.00028904,             0.00028904
                     43,                0.88293,                0.91656,                 1.2821,                0.95478,                 1.1237,                 1.3108,                0.85708,                 0.8367,                0.93542,                0.70682,                 1.1158,                0.60785,                 1.4122,                 1.1531,                0.63607,                 1.4576,             0.00028795,             0.00028795,             0.00028795
                     44,                0.88778,                 0.9038,                 1.2779,                0.94674,                 1.1233,                 1.3062,                0.88113,                0.83324,                0.91801,                0.67649,                 1.1694,                0.60749,                 1.4748,                 1.1999,                 0.6604,                 1.5153,             0.00028685,             0.00028685,             0.00028685
