epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23701.2,0.78516,1.1223,1.28009,0.88893,0.84578,0.93984,0.7162,0.9913,0.89161,1.38788,0.00015775,0.00015775,0.00015775
43,23989.5,0.80157,1.1607,1.30241,0.89255,0.86588,0.9458,0.68738,1.12532,0.87201,1.52643,0.0001555,0.0001555,0.0001555
44,24277.2,0.79071,1.10177,1.28719,0.87327,0.86653,0.9562,0.71912,1.086,0.84082,1.49244,0.00015325,0.00015325,0.00015325
45,24564.4,0.76977,1.05712,1.263,0.92133,0.88943,0.9552,0.72102,1.04469,0.81776,1.44272,0.000151,0.000151,0.000151
46,24854.4,0.78702,1.11879,1.27983,0.91764,0.88222,0.95466,0.72845,1.01493,0.81653,1.40334,0.00014875,0.00014875,0.00014875
47,25143.3,0.77216,1.08139,1.26654,0.91799,0.82277,0.95058,0.74384,0.93396,0.86238,1.36846,0.0001465,0.0001465,0.0001465
48,25432.6,0.77532,1.09426,1.26652,0.90629,0.86099,0.94861,0.70383,1.12664,0.90124,1.53834,0.00014425,0.00014425,0.00014425
49,25718.6,0.77809,1.01978,1.27584,0.8862,0.88615,0.93594,0.7363,0.92281,0.85115,1.32373,0.000142,0.000142,0.000142
50,26004.5,0.74584,1.03961,1.25493,0.91211,0.8548,0.94351,0.7475,0.92382,0.78155,1.32606,0.00013975,0.00013975,0.00013975
51,26289.7,0.74488,0.99573,1.25024,0.88514,0.90276,0.95577,0.72511,1.05423,0.77579,1.48671,0.0001375,0.0001375,0.0001375
52,31732.3,0.75636,1.05007,1.26337,0.90329,0.89062,0.95171,0.76707,0.87382,0.74236,1.30764,0.00013525,0.00013525,0.00013525
53,32026.3,0.74915,0.99345,1.2644,0.91267,0.89739,0.96257,0.72648,1.03336,0.76518,1.44216,0.000133,0.000133,0.000133
54,32311.4,0.75059,1.03461,1.26016,0.89726,0.88368,0.95531,0.70506,1.09883,0.81025,1.52958,0.00013075,0.00013075,0.00013075
55,32597.5,0.73666,0.97791,1.24392,0.9094,0.82079,0.959,0.78124,0.79701,0.74546,1.23083,0.0001285,0.0001285,0.0001285
56,32881.9,0.74492,1.0097,1.25906,0.87367,0.88323,0.94275,0.71227,1.04639,0.85965,1.48075,0.00012625,0.00012625,0.00012625
57,33166.3,0.71082,0.94753,1.21775,0.89747,0.88232,0.94325,0.74625,0.90075,0.77651,1.32766,0.000124,0.000124,0.000124
58,33450.3,0.74758,1.01343,1.26042,0.9189,0.85914,0.94341,0.72654,0.98072,0.77032,1.37603,0.00012175,0.00012175,0.00012175
59,33736.8,0.74531,1.00421,1.23963,0.90746,0.86389,0.94585,0.70627,1.04925,0.76862,1.4436,0.0001195,0.0001195,0.0001195
60,34023.2,0.72043,0.93662,1.22995,0.90351,0.86245,0.94332,0.73459,0.92276,0.78613,1.34457,0.00011725,0.00011725,0.00011725
61,34308.5,0.71746,0.93487,1.22201,0.8981,0.87361,0.9537,0.74591,0.94271,0.74613,1.37063,0.000115,0.000115,0.000115
62,34594.5,0.71586,0.94228,1.22926,0.89198,0.88884,0.94888,0.75101,0.9026,0.70383,1.32379,0.00011275,0.00011275,0.00011275
63,34882.5,0.7339,0.95001,1.23131,0.91995,0.87104,0.94196,0.75381,0.87918,0.70412,1.29752,0.0001105,0.0001105,0.0001105
64,35168.9,0.69253,0.90438,1.21314,0.92479,0.87723,0.94892,0.72633,1.01176,0.72953,1.43803,0.00010825,0.00010825,0.00010825
