epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,18762.4,0.44037,0.68163,1.0041,0.88881,0.88916,0.93426,0.75365,0.8415,1.00253,1.29204,5.2e-05,5.2e-05,5.2e-05
42,19055.5,0.42854,0.62752,0.98326,0.88117,0.89034,0.93941,0.78777,0.74422,0.95666,1.1934,4.705e-05,4.705e-05,4.705e-05
43,19349.6,0.41591,0.60581,0.98751,0.88399,0.89535,0.93178,0.76155,0.81275,0.96773,1.26566,4.21e-05,4.21e-05,4.21e-05
44,19635.4,0.41907,0.59361,0.98781,0.88873,0.89226,0.93233,0.75728,0.85654,0.96057,1.31294,3.715e-05,3.715e-05,3.715e-05
45,19920.4,0.4123,0.58655,0.98012,0.88586,0.88758,0.93507,0.78139,0.75579,0.91911,1.20333,3.22e-05,3.22e-05,3.22e-05
46,20204.4,0.40635,0.56868,0.9727,0.88964,0.88668,0.93243,0.75746,0.81648,0.95466,1.27164,2.725e-05,2.725e-05,2.725e-05
47,20488.9,0.40119,0.56973,0.9733,0.88246,0.89422,0.93925,0.77938,0.77741,0.89899,1.23648,2.23e-05,2.23e-05,2.23e-05
48,20779.9,0.39724,0.55592,0.9615,0.88765,0.88787,0.9383,0.77809,0.77254,0.89625,1.23402,1.735e-05,1.735e-05,1.735e-05
49,21074.9,0.39676,0.55349,0.96837,0.88627,0.88652,0.9357,0.77248,0.80669,0.90333,1.2611,1.24e-05,1.24e-05,1.24e-05
50,21360.6,0.39477,0.55387,0.96978,0.89422,0.87873,0.93479,0.77763,0.76974,0.88714,1.22661,7.45e-06,7.45e-06,7.45e-06
